Site ,VES,D1,D2,D3,D4,D5,D6,D7,D8,D9* (10),T1,T2,T3,T4,T5,T6,T7,T8,T9,Latitude (21),Longitude,HII,Standard HII,Frag Name,Forest Frag Code,Forest Type,Forest Type Code,DC,Wetland,Code,WPU,WetForest,WetFor,Simple,Date,Date1,Date2,StanDate,Julian1,"Avg,STD"
Green Mountain National Forest (Grout Pond),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43.05,-72.95,17,-0.38,Water,8,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/16/2016,-,-,-0.469111058,16137,
Green Mountain National Forest (Lefferts Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,43.71946,-72.90433,9,-1.20,Interior,7,Maple/Beech/Birch Group,3,0,Lake,5,2,4,Maple Pond,3,8/29/2016,7/19/2017,-,-0.198913669,16242,
Green Mountain National Forest (Rt 11/30 Pond),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43.21,-72.97,9,-1.20,Interior,7,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,5/18/2016,-,-,-0.463964441,16139,
Green Mountain National Forest (Stream 71),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.96335,-72.99416,11,-1.00,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,7/25/2017,-,-,2.281755695,17206,
Green Mountain National Forest (Swamp 325),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.9455,-72.99809,9,-1.20,Unlabeled,1,Maple/Beech/Birch Group,3,0,Freshwater Emergent Wetland,3,1,11,Maple Emergent,1,7/24/2017,-,-,2.279182387,17205,
Green Mountain National Forest (Swamp 73),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.83818,-73.04176,8,-1.31,Interior,7,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,7/21/2017,-,-,2.271462461,17202,
Hampton Resevoir ,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.82369,-72.05727,14,-0.69,Interior,7,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,6/23/2017,-,-,2.199409824,17174,
Harriman SF (7 L Pond),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.21657,-74.11066,18,-0.28,Edge,5,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,7/27/2016,-,-,-0.283832848,16209,
Harriman SF (Ka-wauke Lake),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.23401,-74.116,18,-0.28,Perforated,6,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,7/27/2016,-,-,-0.283832848,16209,
Harriman SF (Roadside Beaver Pond),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.22893,-74.14381,18,-0.28,Perforated,6,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,7/27/2016,-,-,-0.283832848,16209,
Harriman SF (Silver Mine Lake),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.29464,-74.05909,18,-0.28,Edge,5,Maple/Beech/Birch Group,3,0,Lake,5,2,4,Maple Pond,3,7/27/2016,-,-,-0.283832848,16209,
Harriman SF (Skan-tai),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.2419,-74.10243,18,-0.28,Edge,5,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,7/27/2016,-,-,-0.283832848,16209,
Harriman SF (Welch Lake),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.23627,-74.07313,18,-0.28,Edge,5,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,7/27/2016,-,-,-0.283832848,16209,
Herman Covey WMA (HC1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.25,-72.34,18,-0.28,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,8/3/2016,-,-,-0.265819689,16216,
Higbee Beach (Cape May),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,38.95551994,-74.95781997,24,0.33,Unlabeled,1,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,5/4/2016,-,-,-0.49999076,16125,
Highland Lakes State Park (HL 5),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.49,-74.34,21,0.03,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,7/26/2016,-,-,-0.286406157,16208,
Highland Lakes State Park (HSF 2),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.49,-74.34,21,0.03,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,7/26/2016,-,-,-0.286406157,16208,
Highland Lakes State Park (HSF 3),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.5,-74.33,18,-0.28,Edge,5,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,7/26/2016,-,-,-0.286406157,16208,
Highland Lakes State Park (HSF 4),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.49,-74.34,21,0.03,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,7/26/2016,-,-,-0.286406157,16208,
Highland Lakes State Park (HSF 6),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.5,-74.33,18,-0.28,Edge,5,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,7/26/2016,-,-,-0.286406157,16208,
Hinsdale WMA (HIN 1),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.39,-73.11,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/7/2016,-,-,-0.412498272,16159,
Hiram H. Fox WMA (HHF 4),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.32,-72.9,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/3/2016,-,-,-0.422791506,16155,
Hiram H. Fox WMA (HHF 5),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.33744898,-72.91167767,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/3/2016,-,-,-0.422791506,16155,
Hiram H. Fox WMA (HHF 6),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.33,-72.91,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/3/2016,-,-,-0.422791506,16155,
Hiram H. Fox WMA (HHF 7),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.32,-72.9,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/3/2016,-,-,-0.422791506,16155,
Hiriam H. Fox WMA (HHF 3),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.33094831,-72.90130621,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,6/3/2016,-,-,-0.422791506,16155,
Housatonic State Forest (HSF 2),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.92,-73.31,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/31/2016,-,-,-0.430511431,16152,
Housatonic State Forest (HSF 3),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.91374107,-73.34178303,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/31/2016,-,-,-0.430511431,16152,
Housatonic State Forest (HSF 4),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.91,-73.34,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/31/2016,-,-,-0.430511431,16152,
Ireland Brook Conservation Area (Pool 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.40911999,-74.45468995,34,1.36,Unlabeled,1,Maple/Beech/Birch Group,3,0,Pond,1,2,4,Maple Pond,3,5/3/2016,-,-,-0.502564068,16124,
Ireland Brook Conservation Area (Pool 3),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.41093442,-74.45557231,34,1.36,Unlabeled,1,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,5/3/2016,-,-,-0.502564068,16124,
Jugtown Mountain (Pool 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.66835,-75.01353,30,0.95,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Jugtown Mountain (Pool 2),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.66835,-75.01353,30,0.95,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Jugtown Mountain (Pool 3),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.66835,-75.01353,30,0.95,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
kn5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.79574,-77.23755,18,-0.28,Perforated,6,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,5/4/2016,-,-,-0.49999076,16125,
Lake Frances,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.08805,-75.882,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,7/14/2016,-,-,-0.317285859,16196,
Lake Minnewaska beach,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.72743,-74.237763,22,0.13,Perforated,6,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,6/28/2016,-,-,-0.358458794,16180,
Lake Shore Trail seep,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.35649,-77.35288,6,-1.51,Interior,7,Maple/Beech/Birch Group,3,0,Freshwater Emergent Wetland,3,1,11,Maple Emergent,1,5/9/2016,-,-,-0.487124218,16130,
Lake Superior overflow,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.654653,-74.868801,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,6/27/2016,-,-,-0.361032103,16179,
Leonminster State Forest (Crocker Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.53,-71.85441,14,-0.69,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,6/30/2016,-,-,-0.353312177,16182,
Leonminster State Forest (Crow Hill's Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.52,-71.855404,14,-0.69,Edge,5,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,6/30/2016,-,-,-0.353312177,16182,
Leonminster State Forest (Rocky Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.52,-71.836456,14,-0.69,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,6/30/2016,-,-,-0.353312177,16182,
Lily Pond WMA (LP 1),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.44,-72.83,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/3/2016,-,-,-0.422791506,16155,
Little Pine reservoir,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.361128,-77.356937,6,-1.51,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,5/9/2016,-,-,-0.487124218,16130,
Long Mountain WMA (Hayden Swamp Pond),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.23441,-73.13612,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,7/13/2017,-,-,2.250875994,17194,
Long Pond Iron Works State Park (Iron Pond 2),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.17662,-74.31755,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Wetland,2,1,3,Oak Other,6,4/15/2016,-,-,-0.548883621,16106,
Long Pond Iron Works State Park (Iron Pond 3),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.17682,-74.31826,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Wetland,2,1,3,Oak Other,6,4/15/2016,-,-,-0.548883621,16106,
Long Pond Iron Works State Park (Iron Pond 4),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.17626,-74.3174,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Wetland,2,1,3,Oak Other,6,4/15/2016,-,-,-0.548883621,16106,
Lower Lake,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.31508,-75.23375,14,-0.69,Interior,7,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,6/9/2016,-,-,-0.407351655,16161,
MacLeish Field Station (MAC),-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,42.46,-72.68,18,-0.28,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/13/2016,-,-,-0.554030238,16104,
Mahlon Dickerson Reservation (Dickerson 1),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,40.98987,-74.58321,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2016,-,-,-0.505137377,16123,
Mahlon Dickerson Reservation (Dickerson 2),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,40.99033,-74.58359,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2016,-,-,-0.505137377,16123,
Mattatuck SF (Wilton Pond),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.64495,-73.06164,32,1.15,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,4/27/2016,-,-,-0.518003919,16118,16319.2988
Merrill Pond (Merrill Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.140131,-71.794239,14,-0.69,Perforated,6,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,6/17/2016,-,-,-0.386765187,16169,
Meshomasic State Forest (MSF 2),-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,41.38,-72.49,26,0.54,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/27/2016,-,-,-0.518003919,16118,
Meshomasic State Forest (MSF 5),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.62,-72.56,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/27/2016,-,-,-0.518003919,16118,
Millers River WMA (MIL 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.59,-72.19,36,1.56,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/16/2016,-,-,-0.389338496,16168,
Montague WMA Bill's Bog,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.515296,-72.527855,26,0.54,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,4/12/2016,-,-,-0.556603546,16103,
Morey Pond ,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.96601,-72.19354,17,-0.38,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/19/2017,-,-,2.109344028,17139,
National Arboretum (Pool 1),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,38.90614056,-76.97216037,56,3.61,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,3/25/2016,-,-,-0.602923099,16085,
National Arboretum (Pool 2),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,38.90662638,-76.97165544,56,3.61,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,4/27/2016,-,-,-0.518003919,16118,
National Arboretum (Pool 3),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,38.90675101,-76.97140977,56,3.61,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,4/27/2016,-,-,-0.518003919,16118,
Naugatuck State Forest (NAU 3),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.45,-73.09,14,-0.69,Undetermined,4,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,4/28/2016,-,-,-0.515430611,16119,
Nehantic State Forest (NEH 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.46205299,-72.25033132,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/2/2016,-,-,-0.505137377,16123,
Nehantic State Forest (NEH 10),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.39,-72.31,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2016,-,-,-0.505137377,16123,
Nehantic State Forest (NEH 5),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.44,-72.26,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2016,-,-,-0.505137377,16123,
Nehantic State Forest (NEH 6),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.44,-72.27,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2016,-,-,-0.505137377,16123,
Nehantic State Forest (NEH 7),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.42,-72.26,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2016,-,-,-0.505137377,16123,
Nehantic State Forest (NEH 8),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.42,-72.26,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2016,-,-,-0.505137377,16123,
Nehantic State Forest (NEH 9),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.39,-72.31,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2016,-,-,-0.505137377,16123,
Nehantic State Forest (Norwhich Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.385743,-72.30197,22,0.13,Interior,7,Elm/Ash/Cottonwood Group,4,0,Lake,5,2,7,Other Pond,3,5/2/2016,8/9/2016,8/10/2016,-0.505137377,16123,
Nehantic State Forest (Uncas Lake),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,41.376215,-72.313479,22,0.13,Interior,7,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,8/9/2016,8/10/2016,-,-0.250379838,16222,
Nescopeck Beaver Pond,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.08766,-75.8746,14,-0.69,Interior,7,Loblolly/Shortleaf Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,7/14/2016,-,-,-0.317285859,16196,
Norvin Green (Marsh 1) ,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.05272,-74.05272,52,3.20,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/14/2016,-,-,-0.551456929,16105,
Norvin Green (Pool 1),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.05322,-74.3753,14,-0.69,Perforated,6,Oak/Hickory Group,1,0,Wetland,2,1,3,Oak Other,6,4/14/2016,-,-,-0.551456929,16105,
Orange WMA (Orange Pond),-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.6224,-72.29247,14,-0.69,Perforated,6,Spruce/Fir Group,4,1,Freshwater Emergent Wetland,3,1,13,Other Emergent,2,7/17/2017,-,-,2.261169228,17198,
Oxbow-tio-l Wildlife Refuge (Beaver Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.51,-71.61,22,0.13,Interior,7,Oak/Hickory Group,1,0,Pond,1,2,1,Oak Pond,3,6/10/2016,-,-,-0.404778347,16162,
Oxbow-tio-l Wildlife Refuge (Clay Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.51,-71.62,22,0.13,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,6/10/2016,-,-,-0.404778347,16162,
Oxbow-tio-l Wildlife Refuge (Tank Road Wetland),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.5,-71.62,22,0.13,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,6/10/2016,-,-,-0.404778347,16162,
Partridge Run (Fawn Lake),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.57465,-74.186,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Pond,1,2,1,Oak Pond,3,5/17/2017,-,-,2.104197411,17137,
Partridge Run (White Birch Pond),-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.56559,-74.15584,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/17/2017,-,-,2.104197411,17137,
Penwood SP (Lake Louise),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.8613,-72.7787,34,1.36,Perforated,6,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/23/2017,-,-,2.199409824,17174,
Penwood SP (Penwood Pond),-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.8572,-72.7769,34,1.36,Perforated,6,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,6/23/2017,-,-,2.199409824,17174,
Perkins Pond WMA (Perkins Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,43.41071,-72.11348,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,6/13/2016,-,-,-0.397058421,16165,
