Site ,VES,D1,D2,D3,D4,D5,D6,D7,D8,D9* (10),T1,T2,T3,T4,T5,T6,T7,T8,T9,Latitude (21),Longitude,HII,Standard HII,Frag Name,Forest Frag Code,Forest Type,Forest Type Code,DC,Wetland,Code,WPU,WetForest,WetFor,Simple,Date,Date1,Date2,StanDate,Julian1,"Avg,STD"
Peru WMA (Peru 1),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.44,-73.03,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/7/2016,-,-,-0.412498272,16159,
Peterson WMA (PETE),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.9,-72.02,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/14/2016,-,-,-0.394485113,16166,
Phillipston WMA (PHIL 1),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.54,-72.1,14,-0.69,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,6/10/2016,-,-,-0.404778347,16162,
Popple Camp WMA (POP),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.51,-72.15,14,-0.69,Interior,7,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,6/16/2016,-,-,-0.389338496,16168,
Powder Mill WMA (POW 1),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.988609,-71.930173,26,0.54,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,6/14/2016,-,-,-0.394485113,16166,
Prentiss Pond,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.25216,-73.10596,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/18/2016,-,-,-0.463964441,16139,
Promised Land Lake,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.31405,-75.18548,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,6/9/2016,6/10/2016,-,-0.407351655,16161,
PRWI (Carter's Pond),-,-,-,-,-,-,-,-,-,-,1,1,0,1,-,-,-,-,-,38.56,-77.36672,21,0.03,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,6/3/2016,-,-,-0.422791506,16155,
PRWI (Lake 1),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.59,-77.35866,31,1.05,Transitional,2,Maple/Beech/Birch Group,3,0,Lake,5,2,4,Maple Pond,3,6/3/2016,-,-,-0.422791506,16155,
PRWI (Lake 3),-,1,1,-,-,-,-,-,-,-,1,1,0,1,0,0,0,0,-,38.56,-77.35697,21,0.03,Water,8,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,6/3/2016,-,-,-0.422791506,16155,
PRWI (Mawavi Pond),-,1,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,38.58,-77.41169,18,-0.28,Edge,5,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,6/3/2016,-,-,-0.422791506,16155,
PWRC (4I-1),-,1,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,-,39.07,-76.82,31,1.05,Transitional,2,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/1/2016,-,-,-0.584909939,16092,
PWRC (60A),-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.08,-76.79755996,31,1.05,Edge,5,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/25/2016,-,-,-0.445951282,16146,
Quabog WMA (QUA 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.21,-72.12,26,0.54,Unlabeled,1,Maple/Beech/Birch Group,3,0,Freshwater Emergent Wetland,3,1,11,Maple Emergent,1,6/15/2016,-,-,-0.391911804,16167,
Quacumquasit WMA (QUC 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.19,-72.07,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/15/2016,-,-,-0.391911804,16167,
Ramapo Mountain State Forest (Bog),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.03492,-74.26472,40,1.97,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,5/2/2017,-,-,2.065597784,17122,
Ramapo Mountain State Forest (Pool 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.04062,-74.26649,40,1.97,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/2/2017,-,-,2.065597784,17122,
Ramapo Mountain State Forest (Pool 2),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.03277,-74.27038,40,1.97,Unlabeled,1,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,5/2/2017,-,-,2.065597784,17122,
Ramapo Mountain State Forest (Pool 3),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.03112,-74.27161,40,1.97,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2017,-,-,2.065597784,17122,
Ramapo Mountain State Forest (Pool 4),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.03218,-74.2683,40,1.97,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2017,-,-,2.065597784,17122,
Ramapo Mountain State Forest (Pool 5),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.03397,-74.26686,40,1.97,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2017,-,-,2.065597784,17122,
Richardson WMA (RICH),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.23,-72.11,14,-0.69,Undetermined,4,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/15/2016,-,-,-0.391911804,16167,
Ricketts Glen 487 pond,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.349375,-76.298912,16,-0.49,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,8/9/2016,-,-,-0.250379838,16222,
Ricketts Glenn The Meadows,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.360047,-76.235489,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,8/9/2016,-,-,-0.250379838,16222,
Ringwood State Park (Pool 1),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.13833,-74.25542,14,-0.69,Interior,7,Loblolly/Shortleaf Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,5/2/2017,-,-,2.065597784,17122,
Rockaway Pool 1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.98390717,-74.56479322,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/2/2016,-,-,-0.505137377,16123,
Rockaway River WMA (Pool 2),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.98287995,-74.55432999,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,5/2/2016,-,-,-0.505137377,16123,
Ryan WMA (RYA 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.9,-72.12,14,-0.69,Interior,7,Loblolly/Shortleaf Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,6/14/2016,-,-,-0.394485113,16166,
Scotia SC37,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.78031,-78.0039,14,-0.69,Edge,5,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,5/10/2016,-,-,-0.484550909,16131,
Scotia SC66,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.80091,-77.94447,27,0.64,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/10/2016,-,-,-0.484550909,16131,
Scotia Ten Acre Pond,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.80091,-77.94447,27,0.64,Unlabeled,1,Loblolly/Shortleaf Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,5/10/2016,-,-,-0.484550909,16131,
Shales Brook WMA (SB 1),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.25,-73.15,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/1/2016,-,-,-0.427938123,16153,
SHEN Pignut,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.71,-78.25,14,-0.69,Interior,7,Loblolly/Shortleaf Pine Group,2,1,Wetland,2,1,3,Pine Other,5,3/1/2016,-,-,-0.664682502,16061,
Sklopek Rd Pond,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.01963,-72.18653,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/23/2017,-,-,2.199409824,17174,
Squan-cook River WMA (SQU 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.68,-71.75,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/8/2016,-,-,-0.409924963,16160,
Stephens & Allamuchy Mt. SP (Budd Pond 10),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89275,-74.75156,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Stephens & Allamuchy Mt. SP (Budd Pond 1B),-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89,-74.75356,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Stephens & Allamuchy Mt. SP (Budd Pond 2),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,40.89216,-74.75259,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Stephens & Allamuchy Mt. SP (Budd Pond 3),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89344,-74.75544,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Stephens & Allamuchy Mt. SP (Budd Pond 4),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89456,-74.75591,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Stephens & Allamuchy Mt. SP (Budd Pond 5),-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89,-74.75566,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Stephens & Allamuchy Mt. SP (Budd Pond 6),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89148,-74.75619,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/15/2016,-,-,-0.548883621,16106,
Stephens & Allamuchy Mt. SP (Budd Pond 7),-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89,-74.75658,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Stephens & Allamuchy Mt. SP (Budd Pond 8),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89232,-74.7574,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Stephens & Allamuchy Mt. SP (Budd Pond 9),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.8919,-74.75446,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Stephens & Allamuchy Mt. SP (Budd Pond),-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89,-74.75329,25,0.44,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/11/2016,-,-,-0.559176855,16102,
Sterling Forest (Blue Lake),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.225816,-74.217989,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,7/27/2016,-,-,-0.283832848,16209,
Sterling Forest (Four Corners Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.22284,-74.22148,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,7/27/2016,-,-,-0.283832848,16209,
Sterling Forest (SF 10),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.19,-74.25,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,7/27/2016,-,-,-0.283832848,16209,
Sterling Forest (SF 6),-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,-,-,-,41.21,-74.23,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,7/27/2016,-,-,-0.283832848,16209,
Sterling Forest (SF 7),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.21,-74.25,24,0.33,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,7/27/2016,-,-,-0.283832848,16209,
Sterling Forest (SF 8),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.21,-74.24,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,7/27/2016,-,-,-0.283832848,16209,
Sterling Forest (SF 9),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.2,-74.25,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,7/27/2016,-,-,-0.283832848,16209,
Sterling Forest (Sterling Lake),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.207887,-74.258006,24,0.33,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,7/27/2016,-,-,-0.283832848,16209,
Sterling SF (Doris Duke Pond),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.25417,-74.2278,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,7/27/2016,-,-,-0.283832848,16209,
Sterling SF (Roadside Pond 1),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.21237,-74.23389,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,7/27/2016,-,-,-0.283832848,16209,
Stissing Mountain (Stissing Mountain Pond),-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.93251,-73.70695,14,-0.69,Interior,7,Loblolly/Shortleaf Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,5/19/2017,-,-,2.109344028,17139,
Stokes Forest (Pool 1),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.2,-74.76863,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,5/3/2017,-,-,2.068171092,17123,
Thayer Pond WMA (Thayer Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.381183,-71.964181,14,-0.69,Perforated,6,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/10/2016,-,-,-0.404778347,16162,
Tobyhan-bridge,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.21388,-75.40188,14,-0.69,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,5/11/2016,-,-,-0.481977601,16132,
Tobyhan-campground area,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.2108,-75.40255,14,-0.69,Interior,7,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,5/11/2016,-,-,-0.481977601,16132,
Tobyhan-dam area,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.19815,-75.41077,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,5/11/2016,-,-,-0.481977601,16132,
Tracy Pond (TP),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.42,-73.08,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/7/2016,-,-,-0.412498272,16159,
Tunxis SF (Emmons Pond),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.0163,-72.9143,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/23/2017,-,-,2.199409824,17174,
Tunxis SF (Emmons Pool),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.0165,-72.9143,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/23/2017,-,-,2.199409824,17174,
Tunxis SF (Howell's Pond),-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.0215,-72.99146,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Pond,1,2,1,Oak Pond,3,6/23/2017,-,-,2.199409824,17174,
Tunxis SF (Stillman Pond),-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.02923,-72.98553,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,6/6/2017,-,-,2.15566358,17157,
Turtletown Pond WMA (Turtletown Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,43.254509,-71.518111,31,1.05,Edge,5,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,8/1/2016,-,-,-0.270966306,16214,
Wallkill NWR (Eagen Annex Pools),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.185825,-74.573788,34,1.36,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/12/2016,-,-,-0.556603546,16103,
Wallkill NWR (Eagen Pond 2),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.185597,-74.573788,34,1.36,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/12/2016,-,-,-0.556603546,16103,
Wallkill NWR (Eagen Pond),-,1,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,41.19,-74.569521,34,1.36,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,4/12/2016,-,-,-0.556603546,16103,
Wallkill NWR (Kosh Farm),-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,41.24,-74.54466,18,-0.28,Perforated,6,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/12/2016,-,-,-0.556603546,16103,
Wallkill NWR (Pochung Pool),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,41.19262,-74.55384,31,1.05,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/12/2016,-,-,-0.556603546,16103,
Wendell State Forest (Ruggles Pond),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.54,-72.45,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,4/18/2016,-,-,-0.541163695,16109,
Wendell State Forest (Wickett Pond),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.55,-72.43,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,4/18/2016,-,-,-0.541163695,16109,
Wharton State Forest (Point/Pool 2),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.73035,-74.69892,7,-1.41,Patch,3,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,5/1/2017,-,-,2.063024475,17121,
Wharton State Forest (Pool 1/Point 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.69032,-74.63621,6,-1.51,Unlabeled,1,Loblolly/Shortleaf Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,5/1/2017,-,-,2.063024475,17121,
Wharton State Forest (Pool 1B),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.70464,-74.65249,6,-1.51,Unlabeled,1,Loblolly/Shortleaf Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,5/1/2017,-,-,2.063024475,17121,
Wharton State Forest (Pool 2B),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.72467,-74.67517,7,-1.41,Unlabeled,1,Loblolly/Shortleaf Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,5/1/2017,-,-,2.063024475,17121,
Wharton State Forest (Pool 2C),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.72486,-74.67676,7,-1.41,Unlabeled,1,Loblolly/Shortleaf Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,5/1/2017,-,-,2.063024475,17121,
Whittingham Wildlife Ma-gement Area (Pool 2),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.01682,-74.79826,22,0.13,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,5/3/2017,-,-,2.068171092,17123,
Whittingham Wildlife Ma-gement Area (Pool 3),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.01594,-74.80206,22,0.13,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,5/3/2017,-,-,2.068171092,17123,
Wolf Swamp WMA (Cranberry Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.180171,-72.092709,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,8/18/2016,-,-,-0.227220062,16231,
,,,,,,,,,,,,,,,,,,,,,mean,20.73705179,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,sd,9.758000906,,,,,,,,,,,,,,,,,,
